! Author: Greg Thompson  NCAR/RAP
!         please mail corrections to gthompsn (at) ucar (dot) edu
! Date: 20 Feb 2015
! This file is continuously maintained at:
! http://www.rap.ucar.edu/weather/surface/stations.txt
!
! This file is organized by state alphabetically, then by Canadian
! province and then all other stations.  The file was compiled from lists
! of the following:
!      METAR sites
!      NEXRADs
!      rawinsonde sites
!      wind profilers
!      WFOs, RFCs, NCEP-Centers
!      AIRMET/SIGMET station list (VORs?)
!      ARTCCs (Air Route Traffic Control Centers - FAA)
!      old SAO sites for archive data access  (flagged in a special manner)
!
!   Country abbreviations from ISO 3166
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html
!
!   CD = 2 letter state (province) abbreviation
!   STATION = 16 character station long name
!   ICAO = 4-character international id
!   IATA = 3-character (FAA) id
!   SYNOP = 5-digit international synoptic number
!   LAT = Latitude (degrees minutes)
!   LON = Longitude (degree minutes)
!   ELEV = Station elevation (meters)
!   M = METAR reporting station.   Also Z=obsolete? site
!   N = NEXRAD (WSR-88D) Radar site
!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site
!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)
!   C = Office type F=WFO/R=RFC/C=NCEP Center
!   Digit that follows is a priority for plotting (0=highest)
!   Country code (2-char) is last column
!
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
!
!
! ALASKA             16-DEC-13                                                  
CD, STATION        ,ICAO , IATA ,SYNOP , LAT   , LONG  ,ELEV  ,M
AK,BARROW ARM-NSA  ,     ,      ,70027 ,71 19N ,156 37W,   7  , 
AK,BARTER ISLAND   ,PABA , BTI  ,70086 ,70 08N ,143 35W,   2  ,X
AK,BETHEL          ,PABE , BET  ,70219 ,60 47N ,161 51W,  41  ,X
AK,BETHEL/88D      ,PABC , ABC  ,      ,60 48N ,161 53W,  49  , 
AK,BETTLES         ,PABT , BTT  ,70174 ,66 55N ,151 31W, 195  ,X
AK,BIG RIVER LAKES ,PALV , LVR  ,      ,60 49N ,152 18W,  12  ,X
AK,BIRCHWOOD       ,PABV , BCV  ,      ,61 25N ,149 31W,  29  ,X
AK,BREVIG_MISSION  ,PFKT ,      ,      ,65 20N ,166 28W,   9  ,X
AK,BUCKLAND        ,PABL , BVK  ,      ,65 59N ,161 09W,   7  ,X
AK,CANTWELL        ,PATW , TTW  ,      ,63 23N ,148 57W, 668  ,X
AK,CAPE LISBURNE   ,PALU , LUR  ,70104 ,68 53N ,166 08W,   3  ,X
AK,CAPE NEWENHAM   ,PAEH , EHM  ,70305 ,58 39N ,162 04W, 161  ,X
AK,CAPE ROMANZOF   ,PACZ , CZF  ,70212 ,61 47N ,166 02W, 146  ,X
AK,CENTRAL         ,PARL ,      ,      ,65 34N ,144 47W, 284  ,X
AK,CENTRAL         ,PACE ,      ,      ,65 34N ,144 47W, 286  ,X
AK,CENTRAL AK PROF ,     , CEN  ,70197 ,65 30N ,144 41W, 259  , 
AK,CHANDALAR LAKE  ,PALR , WCR  ,      ,67 30N ,148 29W, 585  ,X
AK,CHEVAK          ,PAVA ,      ,      ,61 32N ,165 36W,  23  ,X
AK,CHIGNIK BAY     ,PAJC , AJC  ,      ,56 19N ,158 22W,  15  ,X
AK,CIRCLE/PAFC RFC ,PACR , CRC  ,      ,65 50N ,144 04W, 182  ,X
AK,COLD BAY        ,PACD , CDB  ,70316 ,55 12N ,162 43W,  30  ,X
AK,CORDOVA         ,PACV , CDV  ,70296 ,60 30N ,145 30W,  12  ,X
AK,DEADHORSE       ,PASC , SCC  ,      ,70 12N ,148 28W,  15  ,X
AK,DEERING         ,PADE , DEE  ,      ,66 04N ,162 46W,   5  ,X
AK,DELTA JUNCTION  ,PABI , BIG  ,70267 ,64 00N ,145 44W, 386  ,X
AK,DILLINGHAM      ,PADL , DLG  ,70321 ,59 03N ,158 31W,  26  ,X
AK,EAGLE           ,PAEG , EAA  ,      ,64 47N ,141 09W, 268  ,X
AK,EARECKSON/SHEMYA,PASY , SYA  ,70414 ,52 43N ,174 07E,  31  ,X
AK,EGEGIK          ,PAII , EII  ,      ,58 11N ,157 23W,  30  ,X
AK,EIELSON AFB     ,PAEI , EIL  ,70265 ,64 40N ,147 06W, 167  ,X
AK,ELFIN COVE      ,PAEL , ELV  ,      ,58 12N ,136 21W,   3  ,X
AK,ELIM APRT       ,PFEL ,      ,      ,64 37N ,162 16W,  49  ,X
AK,ELMENDORF AFB   ,PAED , EDF  ,70272 ,61 15N ,149 48W,  59  ,X
AK,EMMONAK         ,PAEM , ENM  ,      ,62 46N ,164 31W,   3  ,X
AK,EUREKA          ,PAZK , AZK  ,      ,61 56N ,147 10W,1003  ,X
AK,FAIRBANKS       ,PAFA , FAI  ,70261 ,64 48N ,147 53W, 132  ,X
AK,FAIRBANKS/WFO   ,PAFG , AFG  ,      ,64 48N ,147 53W, 140  , 
AK,FALSE PASS      ,PAKF ,      ,      ,54 51N ,163 25W,   6  ,X
AK,FRBNKS/PEDRO DOM,PAPD , APD  ,      ,65 02N ,147 30W, 790  , 
AK,FAREWELL LAKE   ,PAFK , FKK  ,70248 ,62 32N ,153 36W, 321  ,X
AK,FORT RICHARDSON ,PAFR , FRN  ,70270 ,61 16N ,149 39W, 115  ,X
AK,FORT WAINWRIGHT ,PAFB , FBK  ,      ,64 50N ,147 37W, 137  ,X
AK,FORT YUKON      ,PAFY ,      ,70194 ,66 34N ,145 16W, 131  ,Z
AK,FORT YUKON      ,PFYU , FYU  ,      ,66 34N ,145 16W, 131  ,X
AK,FUNTER BAY      ,PAFN , FNR  ,      ,58 15N ,134 54W,   9  ,X
AK,GALBRAITH LAKE  ,PAGB , GBH  ,      ,68 29N ,149 29W, 811  ,X
AK,GALENA          ,PAGA , GAL  ,70222 ,64 44N ,156 56W,  46  ,X
AK,GAMBELL         ,PAGM , GAM  ,70204 ,63 46N ,171 44W,   8  ,X
AK,GLENNALLEN PROF ,     , GNA  ,70268 ,62 07N ,145 58W, 564  , 
AK,GOLOVIN         ,PAGL , N93  ,      ,64 33N ,163 02W,   8  ,X
AK,GULKANA         ,PAGK , GKN  ,70271 ,62 09N ,145 27W, 481  ,X
AK,GUSTAVUS        ,PAGS , GST  ,70367 ,58 25N ,135 44W,   9  ,X
AK,HAINES          ,PAHN , HNS  ,      ,59 15N ,135 31W,   5  ,X
AK,HAYES RIVER     ,PAHZ , HZZ  ,      ,61 59N ,152 05W, 305  ,X
AK,HEALY           ,PAHV , HRR  ,      ,63 50N ,149 00W, 396  ,X
AK,HOLY CROSS      ,PAHC , HCA  ,      ,62 11N ,159 47W,  21  ,X
AK,HOMER           ,PAHO , HOM  ,70341 ,59 38N ,151 30W,  28  ,X
AK,HOONAH          ,PAOH , HNH  ,      ,58 06N ,135 27W,   9  ,X
AK,HOOPER BAY      ,PAHP , HPB  ,      ,61 32N ,166 09W,   5  ,X
AK,HUSLIA          ,PAHS , HSL  ,      ,65 42N ,156 23W,  55  ,X
AK,HUSLIA          ,PAHL ,      ,      ,65 42N ,156 21W,  65  ,X
AK,HYDABURG        ,PAHY , HYG  ,      ,55 12N ,132 50W,   1  ,X
AK,IGIUGIG         ,PAIG ,      ,      ,59 19N ,155 54W,  28  ,X
AK,ILIAMNA         ,PAIL , ILI  ,70340 ,59 45N ,154 55W,  49  ,X
AK,INDIAN MOUNTAIN ,PAIM , UTO  ,70173 ,66 00N ,153 42W, 389  ,X
AK,JUNEAU          ,PAJN , JNU  ,70381 ,58 22N ,134 35W,   5  ,X
AK,JUNEAU/WFO      ,PAJK , AJK  ,      ,58 22N ,134 34W,   7  , 
AK,KAKE            ,PAFE , AFE  ,      ,56 58N ,133 55W,   9  ,X
AK,KALSKAG         ,PALG , KLG  ,      ,61 32N ,160 20W,  17  ,X
AK,KALTAG          ,PAKV , KAL  ,      ,64 20N ,158 45W,  61  ,X
AK,KENAI           ,PAEN , ENA  ,70259 ,60 34N ,151 15W,  27  ,X
AK,KETCHIKAN       ,PAKT , KTN  ,70395 ,55 21N ,131 42W,  28  ,X
AK,KIANA           ,PAIK ,      ,      ,66 59N ,160 26W,  51  ,X
AK,KING COVE       ,PAVC ,      ,      ,55 07N ,162 16W,  47  ,X
AK,KING SALMON     ,PAKN , AKN  ,70326 ,58 41N ,156 39W,  17  ,X
AK,KING SALMON/88D ,PAKC , AKC  ,      ,58 41N ,156 38W,  19  , 
AK,KING SALMON AFS ,KQRC , QRC  ,      ,58 41N ,156 38W,  15  ,X
AK,KIPNUK          ,PAKI , IIK  ,      ,59 56N ,164 02W,   4  ,X
AK,KIVALINA        ,PAVL , KVL  ,      ,67 44N ,164 33W,   3  ,X
AK,KLAWOCK         ,PAKW , AKW  ,      ,55 35N ,133 04W,  15  ,X
AK,KODIAK          ,PADQ , ADQ  ,70350 ,57 45N ,152 30W,  34  ,X
AK,KODIAK          ,PAKD , KDK  ,      ,57 48N ,152 22W,  42  , 
AK,KOLIGANEK       ,PAJZ , JZZ  ,      ,59 44N ,157 16W,  82  ,X
AK,KOTZEBUE        ,PAOT , OTZ  ,70133 ,66 52N ,162 35W,   3  ,X
AK,KOYUK           ,PAKK , KKA  ,      ,64 56N ,161 09W,  47  ,X
AK,KUPARUK         ,PAKU , UBW  ,      ,70 19N ,149 35W,   2  ,X
AK,MANLEY HOT SPRIN,PAML , MLY  ,      ,65 00N ,150 39W,  81  ,X
AK,MANOKOTAK       ,PAMB , MBA  ,      ,58 59N ,159 03W,  16  ,X
AK,MARSHALL        ,PADM ,      ,      ,61 52N ,162 02W,  31  ,X
AK,MCCARTHY        ,PAMX , 15Z  ,      ,61 26N ,142 55W, 455  ,X
AK,MCGRATH         ,PAMC , MCG  ,70231 ,62 58N ,155 37W, 103  ,X
AK,MCKINLEY PARK   ,PAIN , INR  ,      ,63 44N ,148 55W, 524  ,X
AK,MEKORYUK        ,PAMY , MYU  ,      ,60 22N ,166 16W,  13  ,X
AK,METLAKATLA      ,PAMM , MTM  ,      ,55 08N ,131 35W,   1  ,X
AK,MIDDLETON ISLAND,PAMD , MDO  ,70343 ,59 26N ,146 18W,  14  ,X
AK,MIDDLETON IS 88D,PAIH , AIH  ,      ,59 28N ,146 18W,  20  , 
AK,MINCHUMINA      ,PAMH , MHM  ,70246 ,63 54N ,152 19W, 214  ,X
AK,MOUNTAIN VILLAGE,PAMO , MOU  ,      ,62 06N ,163 41W, 103  ,X
AK,NABESNA         ,PABN , IBN  ,      ,62 24N ,143 00W, 880  ,X
AK,NELSON LAGOON   ,PAOU ,      ,      ,56 00N ,161 10W,   4  ,X
AK,NENANA          ,PANN , ENN  ,70260 ,64 33N ,149 05W, 110  ,X
AK,NEW STUYAHOK    ,PANW , KNW  ,      ,59 27N ,157 22W,  92  ,X
AK,NIKOLAI         ,PAFS , FSP  ,      ,63 01N ,154 21W, 126  ,X
AK,NOME            ,PAOM , OME  ,70200 ,64 30N ,165 26W,  11  ,X
AK,NOME/88D/PAEC   ,     ,      ,      ,64 31N ,165 18W,  16  , 
AK,CHULITNA        ,PAEC , AEC  ,      ,62 53N ,149 50W, 381  ,X
AK,NORTHWAY        ,PAOR , ORT  ,70291 ,62 58N ,141 56W, 523  ,X
AK,NOATAK          ,PAWN , WTK  ,      ,67 34N ,162 59W,  30  ,X
AK,NOORVIK         ,PFNO , D76  ,      ,66 49N ,161 01W,  17  ,X
AK,NUIQSUT         ,PAQT , AQT  ,      ,70 13N ,151 00W,  12  ,X
AK,NUIQSUT VILLAGE ,PALP ,      ,      ,70 20N ,150 56W,   5  ,X
AK,OLIKTOK POINT   ,POLI , OLI  ,70063 ,70 30N ,149 53W,   5  ,X
AK,PALMER          ,PAAQ , PAQ  ,70274 ,61 36N ,149 05W,  73  ,X
AK,PAXSON          ,PAXK , PXK  ,      ,63 02N ,145 30W, 809  ,X
AK,PETERSBURG      ,PAPG , PSG  ,70386 ,56 49N ,132 58W,  15  ,X
AK,PILOT POINT     ,PAPN , PNP  ,      ,57 35N ,157 34W,  18  ,X
AK,PLATINUM        ,PAPM , PTU  ,      ,59 01N ,161 49W,   5  ,X
AK,POINT HOPE      ,PAPO , PHO  ,      ,68 21N ,166 48W,   6  ,X
AK,POINT LAY       ,PPIZ , PIZ  ,70121 ,69 44N ,163 00W,   8  ,X
AK,PORT ALEXANDER  ,PAAP , AHP  ,      ,56 14N ,134 39W,   6  ,X
AK,PORT ALSWORTH   ,PALJ , TPO  ,      ,60 12N ,154 18W,  81  ,X
AK,PORT CLARENCE   ,PAPC , KPC  ,70119 ,65 15N ,166 51W,   3  ,X
AK,PORT HEIDEN     ,PAPH , PTH  ,70333 ,56 57N ,158 37W,  29  ,X
AK,PORTAGE GLACIER ,PATO , POR  ,      ,60 47N ,148 51W,  31  ,X
AK,PROSPECT CREEK  ,PAPR , PPC  ,      ,66 49N ,150 39W, 335  ,X
AK,PRUDHOE BAY     ,PAUD , PUO  ,      ,70 15N ,148 20W,  12  ,X
AK,PUNTILLA LAKE   ,PAPT , PTI  ,70249 ,62 06N ,152 43W, 558  ,X
AK,REG DOG         ,PARD ,      ,      ,68 02N ,162 54W, 297  ,X
AK,REG DOG         ,PADG , DGG  ,      ,68 02N ,162 54W, 297  ,X
AK,RUBY            ,PARY , RBY  ,      ,64 44N ,155 28W, 199  ,X
AK,RUSSIAN MISSION ,PARS , RSH  ,      ,61 46N ,161 19W,  16  ,X
AK,SAINT MARYS     ,PASM , KSM  ,      ,62 04N ,163 18W,  92  ,X
AK,SAND POINT      ,PASD , SDP  ,      ,55 20N ,160 30W,   7  ,X
AK,SAVOONGA        ,PASA , SVA  ,      ,63 41N ,170 30W,  16  ,X
AK,SCAMMON BAY     ,PACM , SCM  ,      ,61 51N ,165 34W,   4  ,X
AK,SELAWIK         ,PASK , WLK  ,      ,66 36N ,160 00W,   8  ,X
AK,SELDOVIA        ,PASO , SOV  ,      ,59 27N ,151 42W,   9  ,X
AK,SEWARD          ,PAWD , SWD  ,70277 ,60 07N ,149 25W,  23  ,X
AK,SHAKTOOLIK      ,PFSH , 2C7  ,      ,64 22N ,161 13W,   7  ,X
AK,SHISHMAREF      ,PASH , SHH  ,      ,66 16N ,166 05W,   2  ,X
AK,SHUNGNAK        ,PAGH , SHG  ,      ,66 53N ,157 10W,  60  ,X
AK,SITKA           ,PASI , SIT  ,70371 ,57 04N ,135 21W,   5  ,X
AK,SITKA/BIORKA/88D,PACG , ACG  ,      ,56 51N ,135 32W,  63  , 
AK,SKAGWAY         ,PAGY , SGY  ,70362 ,59 28N ,135 18W,   5  ,X
AK,SKWENTNA        ,PASW , SKW  ,70255 ,61 58N ,151 12W,  48  ,X
AK,SLANA           ,PADT , DDT  ,      ,62 43N ,143 51W, 730  ,X
AK,SLEETMUTE       ,PASL , SLQ  ,      ,61 43N ,157 09W,  55  ,X
AK,SNOWSHOE LAKE   ,PALK , LLK  ,      ,62 02N ,142 40W, 735  ,X
AK,SOLDOTNA        ,PASX , SXQ  ,      ,60 29N ,151 02W,  32  ,X
AK,SPARREVOHN      ,PASV , SVW  ,70235 ,61 06N ,155 34W, 484  ,X
AK,ST GEORGE       ,PAPB , PBV  ,      ,56 35N ,169 40W,  35  ,X
AK,ST MICHAEL      ,PAMK ,      ,      ,63 29N ,162 07W,  28  ,X
AK,ST PAUL ISLAND  ,PASN , SNP  ,70308 ,57 09N ,170 13W,  29  ,X
AK,STONY RIVER LAND,PAER , ERW  ,      ,61 16N ,153 48W, 345  ,X
AK,SUTTON          ,PAJV , JVM  ,      ,61 43N ,148 53W, 263  ,X
AK,TAHNETNA PASS LO,PASP , SMU  ,      ,61 49N ,147 33W, 799  ,X
AK,TALKEETNA       ,PATK , TKA  ,70251 ,62 18N ,150 06W, 109  ,X
AK,TALKEETNA PROF  ,     , TLK  ,70252 ,62 19N ,150 25W, 137  , 
AK,TANANA          ,PATA , TAL  ,70178 ,65 10N ,152 06W,  67  ,X
AK,TATALINA AFS    ,PATL , TLJ  ,      ,62 54N ,155 58W, 294  ,X
AK,TELLER          ,PATE ,      ,      ,65 14N ,166 20W,  90  ,X
AK,TIN CITY AFS    ,PATC , TNC  ,70117 ,65 34N ,167 55W,  83  ,X
AK,TOGIAK          ,PATG , TOG  ,      ,59 03N ,160 23W,   4  ,X
AK,TOKSOOK BAY     ,PAOO ,      ,      ,60 32N ,165 07W,  18  ,X
AK,UMIAT           ,PAUM , UMT  ,70162 ,69 22N ,152 08W, 104  ,X
AK,UNALAKLEET      ,PAUN , UNK  ,70207 ,63 53N ,160 48W,   6  ,X
AK,DUTCH HARBOR    ,PADU , DUT  ,70489 ,53 54N ,166 32W,   4  ,X
AK,VALDEZ          ,PAVD , VDZ  ,      ,61 08N ,146 15W,  37  ,X
AK,VALDEZ WSO      ,PAVW , VWS  ,70275 ,61 08N ,146 21W,  11  ,X
AK,WAINWRIGHT      ,PAWI , AWI  ,70030 ,70 37N ,159 51W,  27  ,X
AK,WALES           ,PAIW ,      ,      ,65 37N ,168 06W,   7  ,X
AK,WASILLA         ,PAWS , IYS  ,      ,61 34N ,149 32W, 107  ,X
AK,WHITE MOUNTAIN  ,PAWM , WMO  ,      ,64 41N ,163 25W,  82  ,X
AK,WHITTIER        ,PAWR , IEM  ,      ,60 47N ,148 43W,  47  ,X
AK,WILLOW          ,PAUO , UUO  ,      ,61 45N ,150 03W,  69  ,X
AK,WOLVERINE ROAD  ,PAIZ , IZY  ,      ,61 38N ,149 02W, 236  ,X
AK,WRANGELL        ,PAWG , WRG  ,70387 ,56 29N ,132 22W,  11  ,X
AK,YAKUTAT         ,PAYA , YAK  ,70361 ,59 31N ,139 40W,  11  ,X
AK,ALASKAN ARTCC   ,PZ74 , Z74  ,      ,60 09N ,164 17W,   1  , 
AK,ALASKAN ARTCC   ,PZ76 , Z76  ,      ,65 15N ,134 39W, 647  , 
!   ,		   ,	 ,	,      ,       ,       ,      ,
! AL,BAMA            ,6-DEC,-13	,      ,       ,       ,      ,
!CD, STATION        ,ICAO , IATA ,SYNOP , LAT   , LONG  ,ELEV  ,
AL,ALABASTER       ,KEET , EET  ,      ,33 11N ,086 47W, 173  ,X
AL,ALBERTVILLE MUNI,K8A0 , 8A0  ,      ,34 14N ,086 15W, 315  ,X
AL,ALEXANDER/RUSSEL,KALX , ALX  ,      ,32 55N ,085 58W, 209  ,X
AL,ANDALUSIA/OPP AR,K79J , 79J  ,      ,31 19N ,086 24W,  94  ,X
AL,ANNISTON        ,KANB , ANB  ,      ,33 35N ,085 51W, 183  ,X
AL,AUBURN UNIV. (AM,KAUB , AUB  ,      ,32 36N ,085 30W, 198  ,X
AL,AUBURN OPELIKA A,KAUO , AUO  ,      ,32 37N ,085 25W, 236  ,X
AL,BIRMINGHAM      ,KBHM , BHM  ,72228 ,33 34N ,086 45W, 197  ,X
AL,BRMNGHM/ALABASTR,KBMX , BMX  ,72230 ,33 10N ,086 46W, 197  , 
AL,OZARK/CAIRNS AAF,KOZR , OZR  ,      ,31 17N ,085 43W,  93  ,X
AL,CENTREVILLE WSM ,K0A8 , 0A8  ,72229 ,32 56N ,087 05W,  77  ,X
AL,COURTLAND       ,K9A4 , 9A4  ,      ,34 40N ,087 21W, 179  ,X
AL,CULLMAN/FOLSOM F,K3A1 , 3A1  ,      ,34 16N ,086 51W, 294  ,X
AL,CULLMAN/FOLSOM F,KCMD , CMD  ,      ,34 16N ,086 51W, 294  ,X
AL,DECATUR         ,KDCU , DCU  ,      ,34 39N ,086 57W, 176  ,X
AL,DEMOPOLIS       ,KDYA , DYA  ,      ,32 28N ,087 57W,  34  ,X
AL,DOTHAN          ,KDHN , DHN  ,      ,31 19N ,085 27W, 113  ,X
AL,EUFAULA         ,KEUF , EUF  ,      ,31 57N ,085 08W,  87  ,X
AL,EVERGREEN       ,KGZH , GZH  ,      ,31 25N ,087 03W,  78  ,X
AL,FAIRHOPE        ,KCQF , CQF  ,      ,30 28N ,087 53W,  28  ,X
AL,FLORALA MUNI    ,K0J4 , 0J4  ,      ,31 03N ,086 19W,  96  ,X
AL,FT PAYNE/ISBELL ,K4A9 , 4A9  ,      ,34 28N ,085 43W, 267  ,X
AL,FT RUCKER 88D   ,KEOX , EOX  ,      ,31 28N ,085 28W, 132  , 
AL,FT RUCKER/SHELL ,KSXS , SXS  ,      ,31 22N ,085 51W, 122  ,X
AL,FT RUCKER/HANCHE,KHEY , HEY  ,      ,31 21N ,085 39W,  97  ,X
AL,GADSDEN MUNI    ,KGAD , GAD  ,      ,33 58N ,086 04W, 173  ,X
AL,GREENVILLE      ,KPRN , PRN  ,      ,31 51N ,086 37W, 138  ,X
AL,GULF SHORES     ,KJKA , JKA  ,      ,30 17N ,087 40W,   5  ,X
AL,HALEYVILLE      ,K1M4 , 1M4  ,      ,34 17N ,087 36W, 284  ,X
AL,HUNTSVILLE      ,KHSV , HSV  ,72323 ,34 39N ,086 47W, 191  ,X
AL,HUNTSVILLE/MADIS,KMDQ , MDQ  ,      ,34 52N ,086 33W, 230  ,X
AL,HYTOP/88D       ,KHTX , HTX  ,      ,34 56N ,086 05W, 536  , 
AL,JASPER/WALKER   ,KJFX , JFX  ,      ,33 54N ,087 19W, 148  ,X
AL,LOWE AHP/FT. RUC,KLOR , LOR  ,      ,31 21N ,085 45W,  74  ,X
AL,MAXWELL AFB 88D ,KMXX , MXX  ,      ,32 32N ,085 47W, 122  , 
AL,MAXWELL AFB/MGM ,KMXF , MXF  ,      ,32 22N ,086 22W,  51  ,X
AL,MOBILE/BROOKLEY ,KBFM , BFM  ,      ,30 37N ,088 04W,  20  ,X
AL,MOBILE/BATES    ,KMOB , MOB  ,72223 ,30 41N ,088 15W,  63  ,X
AL,MONTGOMERY      ,KMGM , MGM  ,72226 ,32 18N ,086 24W,  63  ,X
AL,MUSCLE SHOAL    ,KMSL , MSL  ,      ,34 45N ,087 36W, 164  ,X
AL,MONROEVILLE     ,KMVC , MVC  ,      ,31 27N ,087 21W, 128  , 
AL,PHI OIL PLAT    ,KRAM , RAM  ,      ,29 03N ,088 05W,  10  ,X
AL,REDSTONE ARSENAL,KHUA , HUA  ,74001 ,34 41N ,086 41W, 209  ,X
AL,SCOTTSBORO      ,K4A6 , 4A6  ,      ,34 41N ,086 00W, 198  ,X
AL,SEMMNES VOR     ,KSJI , SJI  ,      ,30 44N ,088 22W,  63  , 
AL,TALLADEGA       ,KASN , ASN  ,      ,33 34N ,086 03W, 162  ,X
AL,TROY            ,KTOI , TOI  ,      ,31 51N ,086 01W, 118  ,X
AL,TUSCALOOSA      ,KTCL , TCL  ,      ,33 13N ,087 37W,  49  ,X
AL,VULCAN VOR      ,KVUZ , VUZ  ,      ,33 40N ,086 54W, 250  , 
AL,CENTREVILLE WSM ,KCKL , CKL  ,      ,32 53N ,087 15W, 140  ,Z
AL,DAUPHIN ISLAND  ,K4R9 , 4R9  ,99442 ,30 16N ,088 08W,   2  ,Z
AL,FAIRHOPE        ,K4R4 , 4R4  ,      ,30 28N ,087 53W,  28  ,Z
AL,HUNTSVILLE/MADIS,KM82 , M82  ,      ,34 51N ,086 33W, 231  ,Z
AL,VIOSCA KNOLL768 ,KVOA , VOA  ,      ,29 14N ,087 47W,  53  ,X
!   ,		   ,	 ,	,      ,       ,       ,      ,
! AR,ANSAS           ,0-APR,-13	,      ,       ,       ,      ,
! CD, STATION        ,ICAO , IATA ,SYNOP , LAT   , LONG  ,ELEV  
AR,ARKADELPHIA     ,KADF , ADF  ,      ,34 06N ,093 04W,  56  ,X
AR,BATESVILLE      ,KBVX , BVX  ,      ,35 44N ,091 39W, 141  ,X
AR,BENTONVILLE     ,KH00 , H00  ,      ,36 21N ,094 13W, 395  ,X
AR,BENTONVILLE     ,KVBT , VBT  ,      ,36 21N ,094 13W, 395  ,X
AR,BENTONVILLE (NW),KXNA , XNA  ,      ,36 17N ,094 18W, 392  ,X
AR,BLYTHEVILLE     ,KHKA , HKA  ,      ,35 56N ,089 50W,  78  ,X
AR,BLYTHEVILLE     ,KBYH , BYH  ,      ,35 58N ,089 57W,  78  ,X
AR,CAMDEN          ,KCDH , CDH  ,      ,33 37N ,092 46W,  35  ,X
